rtemsCi;rtemsIP;rtemsConnect;rtemsPairs;rtemsFunction;rtemsPrimSec;rtemsTier;rtemsEnvir;rtemsShore
kmdlnxitm001;84.255.92.84;;;itm hub tems;primary;tier-1;ITM and Netcool;nearshore
kmdlnxitm002;84.255.92.85;;;itm hub tems;primary;tier-1;ITM and Netcool;onshore
kmdlnxitm003;84.255.92.86;;;itm hub tems;secondary;tier-1;ITM and Netcool;nearshore
kmdlnxitm004;84.255.92.87;;;itm hub tems;secondary;tier-1;ITM and Netcool;onshore
kmdlnxrls001;84.255.92.90;kmdlnxitm001/kmdlnxitm003;0;itm rtems;primary;tier-2;IBM infrastructure;onshore
kmdlnxrls003;84.255.126.48;kmdlnxitm002/kmdlnxitm004;1;itm rtems/ping probe relay;primary;tier-2;cmo classic;onshore
kmdlnxrls004;84.255.124.220;kmdlnxitm002/kmdlnxitm004;1;itm rtems/ping probe relay;secondary;tier-2;cmo classic;onshore
kmdlnxrls007;84.255.126.45;kmdlnxitm001/kmdlnxitm003;3;itm rtems;primary;Emptying;cmo classic;nearshore
kmdlnxrls011;84.255.126.52;kmdlnxitm001/kmdlnxitm003;5;itm rtems;primary;Emptying;cmo classic;nearshore
kmdlnxrls015;84.255.126.54;kmdlnxitm001/kmdlnxitm003;7;itm rtems;primary;tier-2;cmo classic;nearshore
kmdlnxrls016;84.255.124.219;kmdlnxitm001/kmdlnxitm003;7;itm rtems;secondary;tier-2;cmo classic;nearshore
kmdlnxrls019;84.255.67.166;kmdlnxitm001/kmdlnxitm003;9;itm rtems;primary;tier-2;cmo paas;nearshore
kmdlnxrls020;84.255.67.153;kmdlnxitm001/kmdlnxitm003;9;itm rtems;secondary;tier-2;cmo paas;nearshore
kmdlnxrls021;84.255.124.198;kmdlnxitm001/kmdlnxitm003;10;itm rtems/ping probe relay;primary;tier-2;cmo classic;nearshore
kmdlnxrls022;84.255.124.199;kmdlnxitm001/kmdlnxitm003;10;itm rtems/ping probe relay;secondary;tier-2;cmo classic;nearshore
kmdlnxrls023;84.255.124.200;kmdlnxitm001/kmdlnxitm003;11;itm rtems;primary;tier-2;cmo classic;nearshore
kmdlnxrls024;84.255.124.201;kmdlnxitm001/kmdlnxitm003;11;itm rtems;secondary;tier-2;cmo classic;nearshore
kmdlnxrls025;84.255.67.154;kmdlnxitm002/kmdlnxitm004;12;itm rtems/ping probe relay;primary;tier-2;cmo paas;onshore
kmdlnxrls026;84.255.67.155;kmdlnxitm002/kmdlnxitm004;12;itm rtems/ping probe relay;secondary;tier-2;cmo paas;onshore
kmdlnxrls029;84.255.67.133;kmdlnxitm001/kmdlnxitm003;14;itm rtems/ping probe relay;primary;tier-2;cmo paas;nearshore
kmdlnxrls030;84.255.67.132;kmdlnxitm001/kmdlnxitm003;14;itm rtems/ping probe relay;secondary;tier-2;cmo paas;nearshore
kmdlnxrls031;84.255.67.136;kmdlnxitm001/kmdlnxitm003;15;itm rtems;primary;tier-2;cmo paas;nearshore
kmdlnxrls032;84.255.67.137;kmdlnxitm001/kmdlnxitm003;15;itm rtems;secondary;tier-2;cmo paas;nearshore
kmdlnxrls033;84.255.67.138;kmdlnxitm001/kmdlnxitm003;16;itm rtems;primary;tier-2;cmo paas;nearshore
