"Name";"DisplayName"
"AJRouter";"AllJoyn Router Service"
"ALG";"Application Layer Gateway Service"
"Amsp";"Trend Micro Solution Platform"
"AppHostSvc";"Application Host Helper Service"
"AppIDSvc";"Application Identity"
"AppMgmt";"Application Management"
"AppReadiness";"App Readiness"
"AppVClient";"Microsoft App-V Client"
"AppXSvc";"AppX Deployment Service (AppXSVC)"
"Appinfo";"Application Information"
"AudioEndpointBuilder";"Windows Audio Endpoint Builder"
"Audiosrv";"Windows Audio"
"AxInstSV";"ActiveX Installer (AxInstSV)"
"BFE";"Base Filtering Engine"
"BITS";"Background Intelligent Transfer Service"
"BrokerInfrastructure";"Background Tasks Infrastructure Service"
"Browser";"Computer Browser"
"CDPSvc";"Connected Devices Platform Service"
"CDPUserSvc.*";"CDPUserSvc.*"
"COMSysApp";"COM+ System Application"
"CertPropSvc";"Certificate Propagation"
"ClickToRunSvc";"Microsoft Office Click-to-Run Service"
"ClipSVC";"Client License Service (ClipSVC)"
"CmRcService";"Configuration Manager Remote Control"
"CoreMessagingRegistrar";"CoreMessaging"
"CryptSvc";"Cryptographic Services"
"CscService";"Offline Files"
"DPS";"Diagnostic Policy Service"
"DcomLaunch";"DCOM Server Process Launcher"
"DcpSvc";"DataCollectionPublishingService"
"DevQueryBroker";"DevQuery Background Discovery Broker"
"DeviceAssociationService";"Device Association Service"
"DeviceInstall";"Device Install Service"
"Dhcp";"DHCP Client"
"DiagTrack";"Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc";"Display Policy Service"
"DmEnrollmentSvc";"Device Management Enrollment Service"
"Dnscache";"DNS Client"
"DoSvc";"Delivery Optimization"
"DsSvc";"Data Sharing Service"
"DsmSvc";"Device Setup Manager"
"EFS";"Encrypting File System (EFS)"
"Eaphost";"Extensible Authentication Protocol"
"EntAppSvc";"Enterprise App Management Service"
"EventLog";"Windows Event Log"
"EventSystem";"COM+ Event System"
"FDResPub";"Function Discovery Resource Publication"
"FileZilla Server";"FileZilla Server FTP server"
"FontCache";"Windows Font Cache Service"
"FrameServer";"Windows Camera Frame Server"
"FrameServerMonitor";"Windows Camera Frame Server Monitor"
"GISvc";"GISvc"
"GoogleChromeElevationService";"Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService130.0.6679.0";"GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)"
"GoogleUpdaterInternalService131.0.6776.0";"Google Updater Internal Service (GoogleUpdaterInternalService131.0.6776.0)"
"GoogleUpdaterService130.0.6679.0";"GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)"
"GoogleUpdaterService131.0.6776.0";"Google Updater Service (GoogleUpdaterService131.0.6776.0)"
"GraphicsPerfSvc";"GraphicsPerfSvc"
"HvHost";"HV Host Service"
"IISADMIN";"IIS Admin Service"
"IKEEXT";"IKE and AuthIP IPsec Keying Modules"
"InstallService";"Microsoft Store Install Service"
"IpOverUsbSvc";"Windows Phone IP over USB Transport (IpOverUsbSvc)"
"KPSSVC";"KDC Proxy Server service (KPS)"
"KeyIso";"CNG Key Isolation"
"KtmRm";"KtmRm for Distributed Transaction Coordinator"
"LSM";"Local Session Manager"
"LanmanServer";"Server"
"LanmanWorkstation";"Workstation"
"LicenseManager";"Windows License Manager Service"
"MSDTC";"Distributed Transaction Coordinator"
"MSiSCSI";"Microsoft iSCSI Initiator Service"
"MapsBroker";"Downloaded Maps Manager"
"McpManagementService";"McpManagementService"
"MicrosoftEdgeElevationService";"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MpsSvc";"Windows Firewall"
"NcaSvc";"Network Connectivity Assistant"
"NcbService";"Network Connection Broker"
"NetSetupSvc";"Network Setup Service"
"NetTcpPortSharing";"Net.Tcp Port Sharing Service"
"Netlogon";"Netlogon"
"Netman";"Network Connections"
"NgcCtnrSvc";"Microsoft Passport Container"
"NgcSvc";"Microsoft Passport"
"NlaSvc";"Network Location Awareness"
"OneSyncSvc_147a6c";"Sync Host_147a6c"
"PcaSvc";"Program Compatibility Assistant Service"
"PerfHost";"Performance Counter DLL Host"
"PhoneSvc";"Phone Service"
"PimIndexMaintenanceSvc_147a6c";"Contact Data_147a6c"
"PlugPlay";"Plug and Play"
"PolicyAgent";"IPsec Policy Agent"
"Power";"Power"
"PrintNotify";"Printer Extensions and Notifications"
"ProfSvc";"User Profile Service"
"PushToInstall";"Windows PushToInstall Service"
"QWAVE";"Quality Windows Audio Video Experience"
"RSoPProv";"Resultant Set of Policy Provider"
"RasAuto";"Remote Access Auto Connection Manager"
"RasMan";"Remote Access Connection Manager"
"RemoteAccess";"Routing and Remote Access"
"RemoteRegistry";"Remote Registry"
"RmSvc";"Radio Management Service"
"RpcEptMapper";"RPC Endpoint Mapper"
"RpcLocator";"Remote Procedure Call (RPC) Locator"
"RpcSs";"Remote Procedure Call (RPC)"
"SCPolicySvc";"Smart Card Removal Policy"
"SCardSvr";"Smart Card"
"SENS";"System Event Notification Service"
"SNMPTRAP";"SNMP Trap"
"SSDPSRV";"SSDP Discovery"
"SamSs";"Security Accounts Manager"
"ScDeviceEnum";"Smart Card Device Enumeration Service"
"Schedule";"Task Scheduler"
"SecurityHealthService";"Windows Security Service"
"Sense";"Windows Defender Advanced Threat Protection Service"
"SensorDataService";"Sensor Data Service"
"SensorService";"Sensor Service"
"SensrSvc";"Sensor Monitoring Service"
"SessionEnv";"Remote Desktop Configuration"
"SharedAccess";"Internet Connection Sharing (ICS)"
"ShellHWDetection";"Shell Hardware Detection"
"Spooler";"Print Spooler"
"SstpSvc";"Secure Socket Tunneling Protocol Service"
"StateRepository";"State Repository Service"
"StorSvc";"Storage Service"
"SysMain";"Superfetch"
