"DisplayName";"DisplayVersion";"Publisher";"InstallDate"
"7-Zip 22.01 (x64)";"22.01";"Igor Pavlov";
"ActivePerl 5.24.3 Build 2404 (64-bit)";"5.24.2404";"ActiveState";
"Adobe Acrobat Reader DC MUI";"22.002.20212";"Adobe Systems Incorporated";
"Application Verifier x64 External Package (DesktopEditions)";"10.1.22621.3233";"Microsoft";
"Application Verifier x64 External Package (OnecoreUAP)";"10.1.22621.3233";"Microsoft";
"Application Verifier x64 External Package";"10.1.18362.1";"Microsoft";
"Azure Data Studio";"1.37.0";"Microsoft Corporation";
"Configuration Manager Client";"5.00.9122.1000";"Microsoft Corporation";
"DB Browser for SQLite";"3.12.1";"DB Browser for SQLite Team";
"DefaultPackMSI";"4.6.2.0";"Microsoft";
"FileZilla 3.61.0";"3.61.0";"Tim Kosse";
"FileZilla Server";"beta 0.9.60";"FileZilla Project";
"GDR 2080 for SQL Server 2019 (KB4583458) (64-bit)";"15.0.2080.9";"Microsoft Corporation";
"Git";"2.41.0.3";"The Git Development Community";
"Google Chrome";"130.0.6723.92";"Google LLC";
"Hotfix 4123 for SQL Server 2019 (KB5001090) (64-bit)";"15.0.4123.1";"Microsoft Corporation";
"Hotfix 4198 for SQL Server 2019 (KB5008996) (64-bit)";"15.0.4198.2";"Microsoft Corporation";
"Hotfix 4236 for SQL Server 2019 (KB5014353) (64-bit)";"15.0.4236.7";"Microsoft Corporation";
"Hotfix 4280 for SQL Server 2019 (KB5021124) (64-bit)";"15.0.4280.7";"Microsoft Corporation";
"Hotfix 4326 for SQL Server 2019 (KB5029378) (64-bit)";"15.0.4326.1";"Microsoft Corporation";
"Inno Setup version 6.2.2";"6.2.2";"jrsoftware.org";
"Integration Services";"15.0.2000.229";"Microsoft Corporation";
"Kits Configuration Installer";"10.1.22621.3233";"Microsoft";
"MSI Development Tools";"10.1.22621.3233";"Microsoft Corporation";
"Microsoft .NET 8.0.10 - Windows Server Hosting";"8.0.10.24468";"Microsoft Corporation";
"Microsoft .NET AppHost Pack - 5.0.9 (x64)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET AppHost Pack - 5.0.9 (x64_arm)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET AppHost Pack - 5.0.9 (x64_arm64)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET AppHost Pack - 5.0.9 (x64_x86)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET Core 5.0 Templates 5.0.303 (x64)";"20.3.57499";"Microsoft Corporation";
"Microsoft .NET Framework 4 Multi-Targeting Pack";"4.0.30319";"Microsoft Corporation";
"Microsoft .NET Framework 4.8.1 SDK";"4.8.09032";"Microsoft Corporation";
"Microsoft .NET Framework 4.8.1 Targeting Pack";"4.8.09032";"Microsoft Corporation";
"Microsoft .NET Host - 5.0.17 (x64)";"40.68.31213";"Microsoft Corporation";
"Microsoft .NET Host - 5.0.9 (x64)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET Host - 6.0.26 (x64)";"48.104.7000";"Microsoft Corporation";
"Microsoft .NET Host - 8.0.10 (x64)";"64.40.21578";"Microsoft Corporation";
"Microsoft .NET Host - 8.0.10 (x86)";"64.40.21578";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)";"40.68.31213";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 5.0.9 (x64)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 6.0.11 (x64)";"48.47.50420";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 6.0.26 (x64)";"48.104.7000";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 8.0.10 (x64)";"64.40.21578";"Microsoft Corporation";
"Microsoft .NET Host FX Resolver - 8.0.10 (x86)";"64.40.21578";"Microsoft Corporation";
"Microsoft .NET Runtime - 5.0.17 (x64)";"40.68.31213";"Microsoft Corporation";
"Microsoft .NET Runtime - 5.0.9 (x64)";"40.36.30309";"Microsoft Corporation";
"Microsoft .NET Runtime - 6.0.11 (x64)";"48.47.50420";"Microsoft Corporation";
"Microsoft .NET Runtime - 6.0.26 (x64)";"48.104.7000";"Microsoft Corporation";
"Microsoft .NET Runtime - 8.0.10 (x64)";"8.0.10.34116";"Microsoft Corporation";
"Microsoft .NET Runtime - 8.0.10 (x86)";"64.40.21578";"Microsoft Corporation";
"Microsoft .NET SDK 5.0.303 (x64)";"5.3.321.37723";"Microsoft Corporation";
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)";"24.0.28113";"Microsoft Corporation";
"Microsoft .NET Targeting Pack - 5.0.0 (x64)";"40.0.29513";"Microsoft Corporation";
